original_sentence,tiiuae-falcon-7b
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?","Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?
1 Answer
Nov 6, 2015
She earned
Explanation:
The formula is
#""time"" = #""hours"" * #""rate""
#""time"" = 50 minutes * 12 dollars
#""time"" = 600 dollars
Impact of this question
163 views around the world
You can reuse this answer
Creative Commons License
Creative Commons License"
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,"James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?

The first friend writes back on 5 different days.  The second friend writes back on 2 different days.

James writes to both of them the same number of days.

How many days does James write in a year?

I'm really lost on this one.
 I have a strong feeling that this is solved... But I'm lost as well. I have an answer, but I'm not sure if it is correct or not. Are you sure? I have a feeling that 1 page is a day. But you're wrong... It makes sense to me. It doesn't make sense to me... I think I have it... It's 2 pages a day... Right? No, it's not. I don't know if I'm right. I'm sure I'm right. I'm not sure about that. I'm sure about it. I'm not sure about it"
Joy can read 8 pages of a book in 20 minutes. How many hours will it take her to read 120 pages?,"Joy can read 8 pages of a book in 20 minutes. How many hours will it take her to read 120 pages?
1 Answer
Jun 11, 2016
Explanation:
The equation to solve for the unknown hours is
Impact of this question
108 views around the world
You can reuse this answer
Creative Commons License
Creative Commons License"
There are 25 roses in a garden. There are 40 tulips. There are 35 daisies. What percentage of flowers are not roses?,"There are 25 roses in a garden. There are 40 tulips. There are 35 daisies. What percentage of flowers are not roses?
This problem is often asked in a mathematical competition such as the USAMO or IMO. However, it is also frequently asked on a test or in a homework assignment.
To solve this problem, we can start by making a table of the data. We can do this by hand or by making a table of all possible combinations. For example, in the table below, we can see that the table is starting to get quite large. At this point, we can use a graphing calculator to help us solve the problem.
We can see from the graph that 60% of the flowers are not roses.
Here is the video solution to this problem:"
John writes 20 pages a day.  How long will it take him to write 3 books that are 400 pages each?,"John writes 20 pages a day.  How long will it take him to write 3 books that are 400 pages each?

The other thing I am wondering is if you are going to read all of these books.  If you are going to read these books, I would recommend reading them in order.  Also, if you want to read 3 books at the same time, then read the one that is closest to the middle of the books.  3 books 20 pages a day is a lot, especially if you are reading 3 different books.

I also recommend listening to the audiobooks of the books you are currently reading.  I listen to audiobooks more than I read them.  It is nice to have the audiobook on my phone, but I am going to listen to the audiobook while I am doing something else.  I don't listen to them while I am working.  I listen to them while I am playing a video game or while I am doing something else.  It is nice to have the audiobook on my phone and listen to it while I am reading.  I also listen to audiobooks while I am walking and talking."
"Paddington has 40 more goats than Washington. If Washington has 140 goats, how many goats do they have in total?","Paddington has 40 more goats than Washington. If Washington has 140 goats, how many goats do they have in total?
Paddington has 40 more goats than Washington. If Washington has 140 goats, how many goats do they have in total?
- 2
- 2
- 4
- 1
- 3
- 1
Answer(0)
Bids(0)
other Questions(10)
- The following are the monthly sales data for the product X for a department store.
- The US government should give people more money as a gift in order to stimulate the economy
- What does ""doleful"" mean?
- i need to write a 1 page essay on the topic of the movie ""Bubba Ho-Tep""
- What is the difference between a ""conjugal visit"" and a ""visit""?
- Who is the speaker of the poem ""The Rime of the Ancient Mariner""
- 3. What is the net change in the length of the wire to the right of the coil due to the movement of the current?"
"Ed has 2 dogs, 3 cats and twice as many fish as cats and dogs combined. How many pets does Ed have in total?","Ed has 2 dogs, 3 cats and twice as many fish as cats and dogs combined. How many pets does Ed have in total?
In this activity, we are going to work with the same kind of problem as in the previous activity, that is, the problem of finding all the possible values for each of the variables in a system of equations. The difference in this activity is that we will be working with 2 systems of equations instead of 1.
In this activity, we will be working with 2 linear equations and 2 variables.
This activity will involve some algebraic manipulations. You should know how to solve systems of linear equations by graphing and by substitution."
"John has five more roommates than twice as many as Bob. If Bob has 10 roommates, how many roommates does John have?","John has five more roommates than twice as many as Bob. If Bob has 10 roommates, how many roommates does John have?
The number of roommates that John has is equal to the number of roommates that Bob has.
(1) If Bob has 10 roommates, John has 5 roommates.
(2) If Bob has 5 roommates, John has 10 roommates.
(3) If John has 5 roommates and Bob has 10 roommates, John has 10 roommates.
(4) If John has 10 roommates and Bob has 5 roommates, John has 5 roommates.
(5) If John has 5 roommates and Bob has 10 roommates, John has 10 roommates.
Answer: (1) If Bob has 10 roommates, John has 5 roommates.
Explanation:
The number of rooms Bob has is 10.
The number of rooms John has is 1/2 of the number of rooms that Bob has.
John has 1/2 of the number of rooms that Bob has.
John has 1/2 of 10. John has 5 rooms.
John has 5"
James buys 5 packs of beef that are 4 pounds each.  The price of beef is $5.50 per pound.  How much did he pay?,"James buys 5 packs of beef that are 4 pounds each.  The price of beef is $5.50 per pound.  How much did he pay?
\begin{align*}
\frac{(5\times 4\times 5.50)}{1} = \frac{268.5}{1} = 268.5
\end{align*}
James paid $268.50 for five packs of beef."
"In 3 years, Jayden will be half of Ernesto's age. If Ernesto is 11 years old, how many years old is Jayden now?","In 3 years, Jayden will be half of Ernesto's age. If Ernesto is 11 years old, how many years old is Jayden now?
1 Answer
Jan 10, 2019
The age of Jayden in three years is 6 + 3 + (3/2) = 8years.
Explanation:
Since Jayden is half of Ernesto's age, his age is also half of the age of Ernesto. So, the age of Ernesto is 11 years.
Impact of this question
114 views around the world
You can reuse this answer
Creative Commons License
Creative Commons License"
"Mel is three years younger than Katherine.  When Katherine is two dozen years old, how old will Mel be in years?","Mel is three years younger than Katherine.  When Katherine is two dozen years old, how old will Mel be in years?

A: &lt;1

B: 1

C: 2

D: &gt;2 I think the answer is A, but I'm not sure. It is.  I think that is the answer.  I'm not sure, though. I'm not sure, either. I'm absolutely sure. I'm pretty sure, but I'm not sure. I'm sure, but I'm not. I'm sure, but I'm not. I'm sure, but I'm not. I'm sure, but I'm not. I'm sure, but I'm not. I'm sure, but I'm not. I'm sure, but I'm not. I'm sure, but I'm not. I'm sure, but I'm not. I'm sure, but I'm not."
A store sells 20 packets of 100 grams of sugar every week. How many kilograms of sugar does it sell every week?,"A store sells 20 packets of 100 grams of sugar every week. How many kilograms of sugar does it sell every week?
(a) 1.2
(b) 1.5
(c) 1.8
(d) 2.1
(e) 2.4
Solution:
The given data is:
Number of packets = 20
Number of grams in a packet = 100
The total weight of sugar sold = 20 x 100 = 2000 grams.
We know that,
Weight of sugar = (2000/100) = 20 kg
Hence,
The weight of sugar sold = 2000/20 = 100 kg
A store sells 20 packets of 100 grams of sugar every week. How many kilograms of sugar does it sell every week?
The total weight of sugar sold = 20 x 100 = 2000 grams.
The weight of sugar = (2000/100) = 20 kg
The weight of sugar sold = 2000/20 ="
"Herbert is 10 years younger than Kris. If Kris is 24 years old now, how old will Herbert be next year?","Herbert is 10 years younger than Kris. If Kris is 24 years old now, how old will Herbert be next year?
(A) 25 years old
(B) 24 years old
(C) 23 years old
(D) 22 years old
(E) 21 years old
A
If Kris is 24 years old now, then 1 year later, her age will be 1 year more than twice her age 10 years ago.
If the total number of years is 10, then the age 10 years ago would be 10-1=9. Now, the new age of Kris will be 24-9 = 15 (15 years).
10 - 1 = 9
15 - 9 = 6
24 - 6 = 18
Herbert is 10 years younger than Kris. If Kris is 24 years old now, how old will Herbert be next year?"
