original_sentence,truncated_sentence
"A -wide meteorite impact crater is located in Elmore County, just north of Montgomery.",A -wide meteorite impact crater
"A 2008 study found that this anthropogenic change lowered the local surface area temperature of the high-albedo area, although changes were localized.",A 2008 study found that
A 60-gun ship of that name served at the Battle of Belleisle in 1761 while a 74-gun ship served at the Battle of Trafalgar.,A 60-gun ship of that
"A Centers for Disease Control and Prevention study in 2008 showed that obesity in Alabama is a problem, with most counties having more than 29% of adults obese, except for ten which had a rate between 26% and 29%.",A Centers for Disease Control
A broad categorisation can be made between aims to destroy oppressive states and institutions by revolutionary means on one hand and aims to change society through evolutionary means on the other.,A broad categorisation can be
"A central character in Homer's Iliad, he was the son of the Nereid Thetis and Peleus, king of Phthia and famous Argonaut.",A central character in Homer's
"A company of cavalry soldiers from Huntsville, Alabama, joined Nathan Bedford Forrest's battalion in Hopkinsville, Kentucky.",A company of cavalry soldiers
"A component especially of individualist anarchism, philosophical anarchism may tolerate the existence of a minimal state but claims that citizens have no moral obligation to obey government when it conflicts with individual autonomy.",A component especially of individualist
A few natural disasters have occurred in the state in the twenty-first century.,A few natural disasters have
"A former Democrat, Hannibal Hamlin of Maine, was nominated for vice president to balance the ticket.","A former Democrat, Hannibal Hamlin"
A great deal of Alabama's economic growth since the 1990s has been due to the state's expanding automotive manufacturing industry.,A great deal of Alabama's
"A layer of snowfall increases local albedo, reflecting away sunlight, leading to local cooling.",A layer of snowfall increases
"A long tradition of Spanish anarchism led to anarchists playing a pivotal role in the war, and particularly in the Spanish Revolution of 1936.",A long tradition of Spanish
A major revision of the work by composer and arranger F.,A major revision of the
A number of important commercial port cities of the Greek waters were dedicated to Achilles.,A number of important commercial
A recent technique that has been claimed to be used during the Oscar season is the whisper campaign.,A recent technique that has
"A relic claimed to be Achilles' bronze-headed spear was preserved for centuries in the temple of Athena on the acropolis of Phaselis, Lycia, a port on the Pamphylian Gulf.",A relic claimed to be
"A total of 387 schools, seven teachers' houses, and several vocational buildings were completed by 1937 in the state.","A total of 387 schools,"
"A widespread tradition in antiquity suspected Aristotle of playing a role in Alexander's death, but the only evidence of this is an unlikely claim made some six years after the death.",A widespread tradition in antiquity
"A"" is often used to denote something or someone of a better or more prestigious quality or status: A−, A or A+, the best grade that can be assigned by teachers for students' schoolwork; ""A grade"" for clean restaurants; A-list celebrities, etc.","A"" is often used to"
"A, or a, is the first letter and the first vowel of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide.","A, or a, is the"
"About three-fifths of the land area is part of the Gulf Coastal Plain, a gentle plain with a general descent towards the Mississippi River and the Gulf of Mexico.",About three-fifths of the land
"Abraham Lincoln ( ; February 12, 1809 – April 15, 1865) was an American lawyer, politician, and statesman who served as the 16th president of the United States from 1861 until his assassination in 1865.",Abraham Lincoln ( ; February
"Abraham Lincoln was born on February 12, 1809, the second child of Thomas Lincoln and Nancy Hanks Lincoln, in a log cabin on Sinking Spring Farm near Hodgenville, Kentucky.",Abraham Lincoln was born on
"Abraham became close to his stepmother and called her ""Mother"".",Abraham became close to his
"Abraham then became increasingly distant from Thomas, in part due to his father's lack of education.",Abraham then became increasingly distant
"Academic John Molyneux writes in his book Anarchism: A Marxist Criticism that ""anarchism cannot win"", believing that it lacks the ability to properly implement its ideas.",Academic John Molyneux writes in
"Academy Screening Room 
The Academy Screening Room or Academy Digital Screening Room is a secure streaming platform which allows voting members of the Academy to view all eligible films (except, initially, those in the International category) in one place.",Academy Screening Room The Academy
"Academy membership is divided into different branches, with each representing a different discipline in film production.",Academy membership is divided into
"According to Aristotle, spontaneity and chance are causes of some things, distinguishable from other types of cause such as simple necessity.","According to Aristotle, spontaneity and"
"According to Business Insider, Alabama ranked 14th in most popular states to visit in 2014.","According to Business Insider, Alabama"
"According to Photius, the sixth book of the New History by Ptolemy Hephaestion reported that Thetis burned in a secret place the children she had by Peleus.","According to Photius, the sixth"
"According to Strabo and Plutarch, after Aristotle's death, his library and writings went to Theophrastus (Aristotle's successor as head of the Lycaeum and the Peripatetic school).","According to Strabo and Plutarch,"
"According to The New York Times, by 2017, many of Alabama's African Americans were living in Alabama's cities such as Birmingham and Montgomery.",According to The New York
"According to other reports in Euripides' lost play about Telephus, he went to Aulis pretending to be a beggar and asked Achilles to heal his wound.",According to other reports in
"According to scholar Roger Theodore Lafferty, Dante built up the philosophy of the Comedy with the works of Aristotle as a foundation, just as the scholastics used Aristotle as the basis for their thinking.",According to scholar Roger Theodore
"According to the Achilleid, written by Statius in the 1st century AD, and to non-surviving previous sources, when Achilles was born Thetis tried to make him immortal by dipping him in the river Styx; however, he was left vulnerable at the part of the body by which she held him: his left heel .","According to the Achilleid, written"
"According to the Iliad, Achilles arrived at Troy with 50 ships, each carrying 50 Myrmidons.","According to the Iliad, Achilles"
"Achilles even engages in battle with the river god Scamander, who has become angry that Achilles is choking his waters with all the men he has killed.",Achilles even engages in battle
"Achilles refused, claiming to have no medical knowledge.","Achilles refused, claiming to have"
"Achilles relents and promises a truce for the duration of the funeral, lasting 9 days with a burial on the 10th (in the tradition of Niobe's offspring).",Achilles relents and promises a
Achilles was represented in the Aethiopis as living after his death in the island of Leuke at the mouth of the river Danube.,Achilles was represented in the
"Achilles was the son of Thetisa Nereid and daughter of the Old Man of the Seaand Peleus, the king of the Myrmidons.",Achilles was the son of
Achilles' armour was the object of a feud between Odysseus and Telamonian Ajax (Ajax the greater).,Achilles' armour was the object
Achilles' descent from the Nereid Thetis and a similarity of his name with those of river deities such as Acheron and Achelous have led to speculations about his being an old water divinity .,Achilles' descent from the Nereid
Achilles' most notable feat during the Trojan War was the slaying of the Trojan prince Hector outside the gates of Troy.,Achilles' most notable feat during
"Achilles' name can be analyzed as a combination of  () ""distress, pain, sorrow, grief"" and  () ""people, soldiers, nation"", resulting in a proto-form *Akhí-lāu̯os ""he who has the people distressed"" or ""he whose people have distress"".",Achilles' name can be analyzed
"Achilles' wrath (μῆνις Ἀχιλλέως, mênis Achilléōs) is the central theme of the poem.","Achilles' wrath (μῆνις Ἀχιλλέως, mênis"
"Actors constitute the largest voting bloc, numbering 1,311 members (22 percent) of the Academy's composition.",Actors constitute the largest voting
"Additionally, Alabama has four National Forests: Conecuh, Talladega, Tuskegee, and William B.","Additionally, Alabama has four National"
"Additionally, some anarchists use libertarian socialist to avoid anarchism's negative connotations and emphasise its connections with socialism.","Additionally, some anarchists use libertarian"
"Aerosol effects
Aerosols (very fine particles/droplets in the atmosphere) have both direct and indirect effects on Earth's radiative balance.",Aerosol effects Aerosols (very fine
Aeschylus and Sophocles used the myth of Antigone to illustrate the conflict between laws imposed by the state and personal autonomy.,Aeschylus and Sophocles used the
"African Americans continued to press in the 1950s and 1960s to end disenfranchisement and segregation in the state through the civil rights movement, including legal challenges.",African Americans continued to press
"After Theophrastus, the Lyceum failed to produce any original work.","After Theophrastus, the Lyceum failed"
"After attending Lincoln's last public address, on April 11, 1865, in which Lincoln stated his preference that the franchise be conferred on some black men, specifically ""on the very intelligent, and on those who serve our cause as soldiers"", Booth hatched a plot to assassinate the President.",After attending Lincoln's last public
"After his nomination he delivered his House Divided Speech, with the biblical reference Mark 3:25, ""A house divided against itself cannot stand.",After his nomination he delivered
"After implementing the Emancipation Proclamation, Lincoln increased pressure on Congress to outlaw slavery throughout the nation with a constitutional amendment.","After implementing the Emancipation Proclamation,"
"After receiving the news of the death of Patroclus from Antilochus, the son of Nestor, Achilles grieves over his beloved companion's death.",After receiving the news of
"After the French lost to the British in the Seven Years' War, it became part of British West Florida from 1763 to 1783.",After the French lost to
"After the Scholastic Thomas Aquinas wrote his Summa Theologica, working from Moerbeke's translations and calling Aristotle ""The Philosopher"", the demand for Aristotle's writings grew, and the Greek manuscripts returned to the West, stimulating a revival of Aristotelianism in Europe that continued into the Renaissance.",After the Scholastic Thomas Aquinas
"After the United States victory in the American Revolutionary War, the territory was divided between the United States and Spain.",After the United States victory
"Agamemnon agrees and sends Odysseus and two other chieftains, Ajax and Phoenix.",Agamemnon agrees and sends Odysseus
